id,Title,Year,Type,smoking,cigarette-smoking,pipe-smoking,cigar-smoking,Plot,Rating,Awards
tt5894596,Ray Parker Jr.: Ghostbusters,1984,movie,False,True,True,False,A musical about the popular film Ghostbusters created by Ray Parker Jr. In 1984.,7.2,N/A
tt0416243,Submerged,2005,movie,False,True,False,False,"Chris Kody, the world's best mercenary, is freed from prison -- but there's a catch. Kody must use his lethal weapons and fighting skills to stop a group of terrorists who have taken over a nuclear sub.",3.7,N/A
tt1144539,Best Worst Movie,2009,movie,False,True,False,False,"A look at the making of the film Troll 2 (1990) and its journey from being crowned the ""worst film of all time"" to a cherished cult classic.",7.3,3 wins & 1 nomination.
tt0093502,A Taxing Woman,1987,movie,False,True,False,False,"If tax evasion is an art, wheeler-dealer Hideki Gondo is Rembrandt. And so, a determined taxing woman gets the tough assignment of trying to catch him.",7.3,23 wins & 5 nominations.
tt0044863,Macao,1952,movie,False,True,False,False,"Nick Cochran, an American in exile in Macao, has a chance to restore his name by helping capture an international crime lord. Undercover, can he mislead the bad guys and still woo the handsome singer/petty crook, Julie Benson?",6.7,N/A
tt0289374,The Outsider,2002,movie,False,True,False,False,A western love story revolving around the forbidden love between a young widow from a Mennonite-like religious group and a cold-blooded gunslinger whom she takes into her home after he is wounded.,6.8,N/A
tt0221838,Borstal Boy,2000,movie,False,True,False,False,"Irish writer and political activist Brendan Behan, is befriended as a teenager in a British labor camp by a liberal warden.",6.8,1 win & 4 nominations.
tt0118851,Chinese Box,1997,movie,False,True,False,False,"The story of Hong Kong, from New Year's Day to June 30th, 1997, when the British left their colony and turned it over to the People's Republic of China.",6.3,1 win & 2 nominations.
tt0815138,Take,2007,movie,False,True,False,False,The lives of two strangers - a struggling mother and a gambling addict - who meet in tragedy. Years pass and they must come to terms with themselves and one another.,6.0,6 wins.
tt0061658,Festival,1967,movie,False,True,False,False,"Black and white footage of performances, interviews, and conversations at the Newport Folk Festival, from 1963 to 1966. The headliners are Peter, Paul and Mary, Joan Baez, Pete Seeger, and ...",7.6,Nominated for 1 Oscar. Another 1 win & 1 nomination.
tt0482461,Barry Munday,2010,movie,False,True,False,False,"Barry Munday wakes up after being attacked to realize that he's missing his family jewels. To make matters worse, he learns he's facing a paternity lawsuit filed by a woman he can't remember having sex with.",5.9,1 nomination.
tt0177746,The Children of the Century,1999,movie,False,True,False,True,A story of doomed passion between two genius writers of the 19th century - novelist George Sand and poet Alfred de Musset.,6.4,N/A
tt1037004,American Son,2008,movie,False,True,False,False,"The story of a young Marine, fresh from Camp Pendleton, who is forced to confront the complexities of adulthood and a volatile home life during a four-day Thanksgiving leave.",5.7,2 nominations.
tt1422122,Tales from the Golden Age,2009,movie,False,True,False,False,Several urban legends of Communist Romania are dramatized.,7.8,2 wins & 5 nominations.
tt0353014,Sky Blue,2003,movie,False,True,False,False,2142: Pollution and climate change wiped out most of Earth's population. Ecoban city is built to withstand this. Suppression results in revolt. A childhood couple find each other as adults on opposing sides.,6.7,1 win & 1 nomination.
tt0043362,The Browning Version,1951,movie,False,True,False,False,"Forced to retire from an English public school, an unpopular professor must confront his failure as a teacher and husband.",8.2,Nominated for 2 BAFTA Film Awards. Another 7 wins & 1 nomination.
tt0479468,Gonzo,2008,movie,False,True,False,False,A portrait of the late gonzo journalist Hunter S. Thompson.,7.7,5 nominations.
tt0269281,Rock My World,2002,movie,False,True,False,False,A rock band bursts onto the scene and then their frontman disappears on the eve of a European tour.,6.2,1 win & 4 nominations.
tt0137799,Ground Control,1998,movie,False,True,False,False,A disgraced former air traffic controller is called back into service when the airport's traffic control system malfunctions.,5.6,N/A
tt0031835,The Rains Came,1939,movie,False,True,False,False,"Living in India with her crude husband, a British aristocrat is reunited with an old flame at a party, though she truly has her sights set on a handsome doctor.",7.0,Won 1 Oscar. Another 5 nominations.
tt0457308,Come Early Morning,2006,movie,False,True,False,False,"A thirty-something southern woman searches for love, despite the burdens she carries with her.",6.1,2 wins & 1 nomination.
tt4756814,Hayley Kiyoko: Girls Like Girls,2015,movie,False,True,False,False,Two teenage girls test the waters of their relationship to the disapproval of a jealous boyfriend.,8.7,N/A
tt0250347,Double Whammy,2001,movie,False,True,False,False,"A world-weary police detective who fails to stop a fast-food restaurant massacre struggles to regain his departmental reputation, public image and self-worth.",5.7,2 wins & 4 nominations.
tt0475970,Creature of Darkness,2009,movie,False,True,True,False,The monster of a man's recurring nightmare turns out to be real when he and his friends go on a weekend trip to a remote area.,2.5,N/A
tt0250862,Haven,2001,movie,False,True,False,False,"Based on the true story of a woman named Ruth Gruber who travels to Europe to help escort 1000 Jewish War victims to the United States. She comes to love and feel sorry for them all, and ...",6.3,Nominated for 3 Primetime Emmys. Another 2 wins & 8 nominations.
tt6463494,3 Days in Quiberon,2018,movie,False,True,False,False,"In a rehab clinic Romy Schneider gives her last interview to two journalists. Three days, driven by romantic desire, professional ambition and the urge for living.",6.9,N/A
tt0422491,The Intruder,2004,movie,False,True,False,True,An emotionally cold man leaves the safety of his Alpine home to seek a heart transplant and an estranged son.,6.9,4 nominations.
tt0070374,Martha,1974,movie,False,True,False,False,"After the death of her abusive father, the lonely librarian Martha marries an equally vile businessman - Helmut. The cruel and torturous nature of their relationship leads Martha to believe Helmut might be trying to kill her.",7.6,1 win & 1 nomination.
tt0030161,The Frontiersmen,1938,movie,False,True,False,False,The local school is causing Hoppy problems. First Bar 20 cattle are stolen when Hoppy investigates a problem there. Then the new teacher arrives and disrupts the routine of the Bar 20 hands...,6.5,N/A
tt0052543,Al Capone,1959,movie,False,True,False,True,A chronicle of the rise and fall of Chicago crime boss Al Capone during the Prohibition era.,6.8,1 win & 1 nomination.
tt0055534,Too Late Blues,1961,movie,False,True,False,False,"Ghost is an ideological musician who would rather play his blues in the park to the birds than compromise himself. However, when he meets and falls in love with beautiful singer Jess ...",6.8,N/A
tt0041886,Hour of Glory,1949,movie,False,True,False,False,"As the Germans drop explosive booby-traps on Britain in 1943, the embittered expert who'll have to disarm them fights a private battle with alcohol.",7.4,N/A
tt4780662,Happy Hour,2015,movie,False,True,False,False,"Four women. All in their 30s. Three married, one divorcee. They are able to tell each other anything. Or at least they thought. One day, after losing in divorce court, one of them gives up ...",7.1,6 wins & 5 nominations.
tt0119448,Character,1997,movie,False,True,False,False,"Jacob Katadreuffe lives mute with his mother, has no contact with his father who only works against him and wants to become a lawyer, at all costs.",7.7,Won 1 Oscar. Another 16 wins & 6 nominations.
tt0053247,The Scapegoat,1959,movie,False,True,False,False,"An English schoolteacher meets his lookalike, a French count; and unwillingly swaps identities with him.",6.9,N/A
tt0076091,Golden Rendezvous,1977,movie,False,True,False,True,"On a cargo ship converted into a cruise-liner, First Officer John Carter foils the plan of international hijackers to use his vessel as bait for a passing U.S. Treasury ship carrying gold bullion.",5.5,N/A
tt0125430,The Naughty Stewardesses,1974,movie,False,True,False,False,"Sexy air stewardesses - four naughty female flight attendants - become involved with a wealthy womanizer, with unsurprising results. They live out their wildest sexual softcore nude fantasies.",2.7,N/A
