id,smoking,cigarette-smoking,pipe-smoking,cigar-smoking
tt0218298,True,False,False,False
tt4664412,True,False,False,False
tt0163159,True,False,False,False
tt0251881,True,False,False,False
tt1733275,True,False,False,False
tt0039487,True,False,False,False
tt0077724,True,False,False,False
tt2661578,True,False,False,False
tt1621019,True,False,False,False
tt0816437,True,True,False,False
tt0415872,True,False,False,True
tt0492466,True,False,False,False
tt0194541,True,False,False,False
tt0059933,True,False,False,False
tt9032758,True,False,False,False
tt0870915,True,False,False,False
tt1272016,True,False,False,False
tt0430063,True,True,False,False
tt6481190,True,False,False,False
tt4467282,True,False,False,False
tt0306921,True,False,False,False
tt4866320,True,False,False,True
tt11070948,True,False,False,False
tt9759046,True,False,False,False
tt1413493,True,False,False,True
tt0122636,True,False,False,False
tt0217799,True,False,False,False
tt1686124,True,False,False,False
tt0490847,True,False,False,False
tt0077556,True,False,False,False
tt0099361,True,True,False,False
tt0139818,True,False,False,False
tt1907688,True,False,False,False
tt0020980,True,False,False,False
tt1104686,True,False,False,False
tt0396502,True,False,False,False
tt0342151,True,False,False,False
tt2133298,True,False,False,False
tt1053951,True,False,False,False
tt0062157,True,False,False,False
tt5190116,True,False,False,False
tt0072768,True,False,False,False
tt2036408,True,False,False,False
tt7865582,True,False,False,False
tt0335035,True,True,False,False
tt0326148,True,False,False,False
tt0370969,True,False,False,False
tt0071078,True,False,False,False
tt2153889,True,False,False,False
tt0016491,True,False,False,True
tt0110278,True,False,False,False
tt0029367,True,False,False,False
tt2282058,True,False,False,False
tt1853619,True,False,False,False
tt1437278,True,False,False,False
tt1512779,True,False,False,False
tt2820468,True,False,False,False
tt0198715,True,False,False,False
tt8338828,True,False,False,False
tt0208026,True,False,False,False
tt0084204,True,False,False,False
tt1159200,True,False,False,False
tt0136440,True,False,False,False
tt5088378,True,False,False,False
tt2101578,True,False,False,False
tt0449000,True,True,False,False
tt2498068,True,True,False,False
tt8619990,True,False,False,False
tt0042957,True,True,False,False
tt2152822,True,False,False,False
tt0260652,True,False,False,False
tt0184215,True,False,False,False
tt0473006,True,False,False,False
tt3389296,True,True,False,False
tt1281841,True,False,False,False
tt0425483,True,False,False,False
tt4026830,True,False,False,False
tt2363157,True,True,False,False
tt0112600,True,False,False,False
tt0256106,True,False,False,False
tt0326174,True,False,False,False
tt0063331,True,False,False,False
tt0114150,True,False,False,False
tt0271616,True,False,False,False
tt4595204,True,False,False,False
tt0188569,True,False,False,False
tt1198199,True,False,False,False
tt0032916,True,False,False,False
tt0122186,True,False,False,False
tt0044939,True,False,False,False
tt0422564,True,False,False,False
tt2823218,True,True,False,False
tt0061524,True,False,False,False
tt0372806,True,True,False,False
tt0070701,True,False,False,False
tt0091654,True,False,False,False
tt1543044,True,False,False,False
tt0228775,True,False,False,False
tt1534806,True,True,False,False
tt0049642,True,False,False,False
tt3830222,True,False,False,False
tt1609123,True,False,False,False
tt0092908,True,False,False,False
tt0468459,True,False,False,False
tt0479775,True,False,False,False
tt0118026,True,False,False,False
tt0136732,True,False,False,False
tt0406669,True,False,False,False
tt1563778,True,False,False,False
tt2379720,True,False,False,False
tt9660572,True,False,False,False
tt0264121,True,False,False,False
tt0284295,True,False,False,False
tt0028135,True,False,False,False
tt0170626,True,False,False,False
tt0005680,True,False,False,False
tt0025725,True,False,False,False
tt0050670,True,False,False,False
tt0057604,True,False,False,False
tt0370451,True,False,False,False
tt0220653,True,False,False,False
tt0190799,True,False,False,False
tt1336587,True,False,False,False
tt2308497,True,False,False,False
tt7251910,True,False,False,False
tt4418898,True,False,False,False
tt0163944,True,False,False,False
tt0181956,True,False,False,False
tt0041891,True,False,False,False
tt0135548,True,False,False,False
tt11986814,True,False,False,False
tt2282973,True,False,False,False
tt1291182,True,False,False,False
tt1773465,True,False,False,False
tt0136284,True,False,False,False
tt0017029,True,False,False,False
tt2690534,True,False,False,False
tt3508138,True,False,False,False
tt10052234,True,False,False,False
tt0132935,True,True,False,False
tt0382069,True,False,False,False
tt0230265,True,True,False,False
tt1364311,True,False,False,False
tt1401563,True,False,False,False
tt0059281,True,False,False,False
tt0196501,True,False,False,False
tt0043862,True,True,True,True
tt0773304,True,False,False,False
tt0065120,True,False,False,False
tt0055080,True,True,False,False
tt0338163,True,False,False,False
tt0318045,True,False,False,False
tt0757210,True,False,False,False
tt4636194,True,False,False,False
tt0452257,True,False,False,False
tt0143346,True,False,False,False
tt0173999,True,False,False,False
tt2134084,True,False,False,False
tt0026432,True,False,False,False
tt0299847,True,False,False,False
tt0155470,True,False,False,False
tt0108842,True,False,False,False
tt0407551,True,True,False,False
tt7744200,True,False,False,False
tt0373343,True,False,False,False
tt0025832,True,False,False,False
tt0261092,True,False,False,False
tt0023217,True,False,True,False
tt0320449,True,False,False,False
tt0039756,True,False,False,False
tt0055089,True,False,False,False
tt4532606,True,False,False,False
tt0305589,True,False,False,False
tt0354264,True,False,False,False
tt0439063,True,False,False,False
tt6217112,True,False,False,False
tt0448130,True,False,False,False
tt0834931,True,False,False,False
tt2002757,True,False,False,False
tt8345106,True,False,False,False
tt0068434,True,False,False,False
tt7997272,True,False,False,False
tt0289355,True,False,False,False
tt1569359,True,False,False,False
tt0092658,True,False,False,False
tt4924656,True,False,False,False
tt0163274,True,False,False,False
tt2204888,True,False,False,False
tt0169817,True,False,True,False
tt1006939,True,False,False,False
tt0235045,True,False,False,False
tt0050110,True,False,False,False
tt0233698,True,False,False,False
tt0903133,True,False,False,False
tt7567098,True,False,False,False
tt3170760,True,False,False,False
tt0096739,True,False,False,False
tt3216700,True,False,False,False
tt0384559,True,False,False,False
tt1249393,True,False,False,False
tt0220843,True,False,False,False
tt0277617,True,False,False,False
tt1404386,True,False,False,False
tt0037992,True,False,False,False
tt0001009,True,False,False,True
tt10818740,True,False,False,False
tt3784356,True,True,False,False
tt0067343,True,False,False,False
tt2551628,True,False,False,False
tt0047886,True,True,False,False
tt0371501,True,False,False,False
tt1308122,True,False,False,False
tt0130862,True,False,False,False
tt0225691,True,False,False,False
tt0130195,True,False,False,False
tt0111722,True,False,False,False
tt0323303,True,False,False,False
tt0235826,True,False,False,False
tt0279938,True,False,False,False
tt4536222,True,False,False,False
tt0241793,True,False,False,False
tt1272010,True,False,False,False
tt2387828,True,False,False,False
tt0241392,True,False,False,False
tt4415342,True,False,False,False
tt0268008,True,False,False,False
tt0362684,True,False,False,False
tt1815938,True,False,False,False
tt0041444,True,True,False,False
tt0227298,True,False,False,False
tt2092419,True,False,False,False
tt5481004,True,False,False,True
tt0039314,True,False,False,False
tt1467287,True,False,False,False
tt0230505,True,False,False,False
tt0108917,True,False,False,False
tt0381704,True,False,False,False
tt11777664,True,False,False,False
tt2058073,True,False,False,False
tt0461802,True,False,False,False
tt1337512,True,False,False,False
tt0069304,True,False,False,True
tt0073563,True,True,False,False
tt0029046,True,False,True,False
tt4791168,True,False,False,False
tt6313408,True,False,False,False
tt1753941,True,False,False,False
tt1956580,True,False,False,False
tt0099511,True,False,False,False
tt1763290,True,False,False,True
tt0030589,True,False,False,False
tt0109181,True,False,False,False
tt0104768,True,False,False,False
tt0136776,True,False,False,False
tt7681104,True,False,False,False
tt0136556,True,False,False,False
tt1975179,True,False,False,False
tt0057561,True,False,False,False
tt0199299,True,True,False,False
tt0278978,True,False,False,False
tt1339670,True,False,False,False
tt0089033,True,False,False,False
tt3979358,True,False,False,False
tt7018854,True,True,False,False
tt0036061,True,False,False,False
tt1795703,True,False,False,False
tt0042562,True,False,False,False
tt5840072,True,False,False,False
tt0022594,True,True,False,False
tt1719737,True,False,False,False
tt0367252,True,False,False,False
tt5030296,True,False,False,False
tt6651456,True,False,False,False
tt9059862,True,False,False,False
tt7901998,True,False,False,False
tt1446815,True,False,False,False
tt0036283,True,False,False,False
tt0137164,True,False,False,False
tt2544674,True,False,False,False
tt1400323,True,False,False,False
tt0258709,True,False,False,False
tt5002566,True,False,False,False
tt0349449,True,False,False,False
tt0220396,True,False,False,False
tt0343393,True,False,False,False
tt1481557,True,False,False,False
tt0824777,True,False,False,False
tt0030049,True,False,False,False
tt3953750,True,True,False,False
tt0005315,True,False,False,False
tt7539022,True,False,False,False
tt0418014,True,False,False,False
tt0267954,True,False,False,False
tt3056408,True,False,False,False
tt0306158,True,False,False,False
tt0805548,True,False,False,False
tt0079314,True,False,False,False
tt7590226,True,False,False,False
tt8119410,True,False,False,False
tt0464194,True,False,False,False
tt0006075,True,False,False,False
tt0470873,True,False,False,False
tt6972520,True,False,False,False
tt0202660,True,False,False,False
tt1841578,True,False,False,False
tt0111581,True,False,False,False
tt1858457,True,False,False,False
tt10016754,True,False,False,False
tt2215451,True,False,False,False
tt1148707,True,False,False,False
tt6029248,True,True,False,False
tt4253464,True,True,False,False
tt0098572,True,False,False,False
tt5281932,True,False,False,False
tt5193108,True,False,False,False
tt0468825,True,False,False,False
tt0278145,True,False,False,False
tt0473341,True,False,False,False
tt1500744,True,True,False,False
tt2978660,True,False,False,False
tt2932156,True,False,False,False
tt9248288,True,False,False,False
tt0040230,True,False,False,False
tt0288758,True,False,False,False
tt0152429,True,False,False,True
tt0244916,True,False,False,False
tt0255604,True,False,False,False
tt1935861,True,False,False,False
tt1686839,True,False,False,False
tt3612204,True,False,False,False
tt0159731,True,False,False,False
tt0359005,True,False,False,False
tt5000606,True,False,False,False
tt0431273,True,True,False,False
tt2146832,True,False,False,False
tt5781830,True,False,False,False
tt0381839,True,False,False,False
tt0423556,True,False,False,False
tt1821698,True,False,False,False
tt10177768,True,False,False,False
tt1505354,True,False,False,False
tt0365333,True,False,False,False
tt7946536,True,False,False,False
tt0762087,True,True,False,False
tt0079389,True,False,False,False
tt0198300,True,False,False,False
tt12641244,True,False,False,False
tt7304798,True,False,False,False
tt0152989,True,False,False,False
tt10299658,True,False,False,False
tt1612781,True,False,False,False
tt1378361,True,False,False,False
tt11711958,True,False,False,False
tt0006145,True,False,False,False
tt7407606,True,False,False,False
tt7239888,True,False,False,True
tt0248219,True,False,False,False
tt0163175,True,False,False,False
tt0123185,True,False,False,True
tt0403060,True,True,False,False
tt0371502,True,False,False,False
tt4966696,True,False,False,False
tt3163356,True,False,False,False
tt0456357,True,False,False,False
tt0196645,True,False,False,False
tt7934790,True,False,False,False
tt0029195,True,False,False,True
tt2354128,True,False,False,False
tt4192662,True,False,False,False
tt0151768,True,False,False,False
tt6604826,True,False,False,False
tt8567932,True,True,False,False
tt6345574,True,False,False,False
tt1550606,True,False,False,False
tt1699706,True,False,False,False
tt0110798,True,False,False,False
tt10564994,True,False,False,False
tt0198883,True,False,False,False
tt0417737,True,False,False,False
tt1486825,True,False,False,False
tt0230056,True,False,False,False
tt7345122,True,False,False,False
tt0305807,True,False,False,False
tt9890112,True,False,False,False
tt0823227,True,False,False,False
tt0048832,True,False,False,False
tt11830052,True,False,False,False
tt0230997,True,False,False,False
tt5340992,True,False,False,False
tt10380478,True,False,False,False
tt7034662,True,False,False,False
tt0040931,True,False,False,False
tt0782036,True,False,False,False
tt2943320,True,False,False,False
tt4415412,True,False,False,False
tt0262670,True,False,False,False
tt5672218,True,False,False,False
tt0298417,True,False,False,False
tt1830529,True,False,False,False
tt5616460,True,False,False,False
tt1850462,True,False,False,False
tt2310049,True,False,False,False
tt12297266,True,False,False,False
tt6296830,True,False,False,False
